Movie,Directors,Ranking,year,region,length,genre
The King of Comedy,Martin Scorsese,351,1983, USA ,109m, Showbiz Comedy
The Palm Beach Story,Preston Sturges,352,1942, USA ,90m, Screwball Comedy
Last Tango in Paris,Bernardo Bertolucci,353,1972, France-Italy ,136m, Psychological Drama
Landscape in the Mist,Theo Angelopoulos,354,1988, Greece-France-Italy ,125m, Road Movie
In a Year with 13 Moons,Rainer Werner Fassbinder,355,1978, West Germany ,129m, Drama
High Noon,Fred Zinnemann,356,1952, USA ,84m, Western
Shoot the Piano Player,François Truffaut,357,1960, France ,92m, Crime Drama
All That Heaven Allows,Douglas Sirk,358,1955, USA ,89m, Melodrama
Woman in the Dunes,Hiroshi Teshigahara,359,1964, Japan ,127m, Avant-garde-Experimental
Tie Xi Qu: West of the Tracks,Wang Bing,360,2003, China ,551m, Culture & Society
Le Voyage dans la lune,Georges Méliès,361,1902, France ,14m, Science Fiction
Quince Tree of the Sun,Victor Erice,362,1992, Spain ,133m, Drama
Teorema,Pier Paolo Pasolini,363,1968, Italy ,98m, Drama
Wanda,Barbara Loden,364,1970, USA ,105m, Drama
Nostalghia,Andrei Tarkovsky,365,1983, Italy ,120m, Drama
